temporada,division,fecha,hora,local,visitante,goles_local,goles_visitante,resultado,quiniela
2024-2025,Primera,2025-04-24,20:30,Ath Madrid,Vallecano,3,0,Local,1
2024-2025,Primera,2025-04-24,20:30,Betis,Valladolid,5,1,Local,1
2024-2025,Primera,2025-04-27,15:15,Villarreal,Espanol,1,0,Local,1
2024-2025,Primera,2025-05-02,20:00,Vallecano,Getafe,1,0,Local,1
2024-2025,Primera,2025-05-03,13:00,Alaves,Ath Madrid,0,0,Empate,X
2024-2025,Primera,2025-05-03,15:15,Villarreal,Osasuna,4,2,Local,1
2024-2025,Primera,2025-05-03,17:30,Las Palmas,Valencia,2,3,Visitante,2
2024-2025,Primera,2025-05-03,20:00,Valladolid,Barcelona,1,2,Visitante,2
2024-2025,Primera,2025-05-04,13:00,Real Madrid,Celta,3,2,Local,1
2024-2025,Primera,2025-05-04,15:15,Sevilla,Leganes,2,2,Empate,X
2024-2025,Primera,2025-05-04,17:30,Espanol,Betis,1,2,Visitante,2
2024-2025,Primera,2025-05-04,20:00,Sociedad,Ath Bilbao,0,0,Empate,X
2024-2025,Primera,2025-05-05,20:00,Girona,Mallorca,1,0,Local,1
2024-2025,Primera,2025-05-09,20:00,Las Palmas,Vallecano,0,1,Visitante,2
2024-2025,Primera,2025-05-10,13:00,Valencia,Getafe,3,0,Local,1
2024-2025,Primera,2025-05-10,15:15,Celta,Sevilla,3,2,Local,1
2024-2025,Primera,2025-05-10,17:30,Girona,Villarreal,0,1,Visitante,2
2024-2025,Primera,2025-05-10,17:30,Mallorca,Valladolid,2,1,Local,1
2024-2025,Primera,2025-05-10,20:00,Ath Madrid,Sociedad,4,0,Local,1
2024-2025,Primera,2025-05-11,13:00,Leganes,Espanol,3,2,Local,1
2024-2025,Primera,2025-05-11,15:15,Barcelona,Real Madrid,4,3,Local,1
2024-2025,Primera,2025-05-11,17:30,Ath Bilbao,Alaves,1,0,Local,1
2024-2025,Primera,2025-05-11,20:00,Betis,Osasuna,1,1,Empate,X
2024-2025,Primera,2025-05-13,18:00,Valladolid,Girona,0,1,Visitante,2
2024-2025,Primera,2025-05-13,19:00,Sociedad,Celta,0,1,Visitante,2
2024-2025,Primera,2025-05-13,20:30,Sevilla,Las Palmas,1,0,Local,1
2024-2025,Primera,2025-05-14,18:00,Alaves,Valencia,1,0,Local,1
2024-2025,Primera,2025-05-14,18:00,Villarreal,Leganes,3,0,Local,1
2024-2025,Primera,2025-05-14,20:30,Real Madrid,Mallorca,2,1,Local,1
2024-2025,Primera,2025-05-15,18:00,Osasuna,Ath Madrid,2,0,Local,1
2024-2025,Primera,2025-05-15,18:00,Vallecano,Betis,2,2,Empate,X
2024-2025,Primera,2025-05-15,20:30,Espanol,Barcelona,0,2,Visitante,2
2024-2025,Primera,2025-05-15,20:30,Getafe,Ath Bilbao,0,2,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Ath Madrid,Betis,4,1,Local,1
2024-2025,Primera,2025-05-18,18:00,Barcelona,Villarreal,2,3,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Celta,Vallecano,1,2,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Las Palmas,Leganes,0,1,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Mallorca,Getafe,1,2,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Osasuna,Espanol,2,0,Local,1
2024-2025,Primera,2025-05-18,18:00,Sevilla,Real Madrid,0,2,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Sociedad,Girona,3,2,Local,1
2024-2025,Primera,2025-05-18,18:00,Valencia,Ath Bilbao,0,1,Visitante,2
2024-2025,Primera,2025-05-18,18:00,Valladolid,Alaves,0,1,Visitante,2
2024-2025,Primera,2025-05-23,20:00,Betis,Valencia,1,1,Empate,X
2024-2025,Primera,2025-05-24,15:15,Real Madrid,Sociedad,2,0,Local,1
2024-2025,Primera,2025-05-24,17:30,Espanol,Las Palmas,2,0,Local,1
2024-2025,Primera,2025-05-24,17:30,Leganes,Valladolid,3,0,Local,1
2024-2025,Primera,2025-05-24,20:00,Alaves,Osasuna,1,1,Empate,X
2024-2025,Primera,2025-05-24,20:00,Getafe,Celta,1,2,Visitante,2
2024-2025,Primera,2025-05-24,20:00,Vallecano,Mallorca,0,0,Empate,X
2024-2025,Primera,2025-05-25,13:00,Girona,Ath Madrid,0,4,Visitante,2
2024-2025,Primera,2025-05-25,15:15,Villarreal,Sevilla,4,2,Local,1
2024-2025,Primera,2025-05-25,20:00,Ath Bilbao,Barcelona,0,3,Visitante,2
2024-2025,Segunda,2024-08-15,19:30,Granada,2lbacete,1,2,Visitante,2
2024-2025,Segunda,2024-08-16,18:00,Mirandes,Cordoba,1,0,Local,1
2024-2025,Segunda,2024-08-16,20:30,Cadiz,Zaragoza,0,4,Visitante,2
2024-2025,Segunda,2024-08-17,16:00,Eibar,Castellon,1,0,Local,1
2024-2025,Segunda,2024-08-17,16:00,Ferrol,Malaga,2,2,Empate,X
2024-2025,Segunda,2024-08-17,18:00,La Coruna,Oviedo,0,1,Visitante,2
2024-2025,Segunda,2024-08-18,16:00,Santander,2lmeria,2,2,Empate,X
2024-2025,Segunda,2024-08-18,16:00,Sp Gijon,Levante,1,2,Visitante,2
2024-2025,Segunda,2024-08-18,18:30,Burgos,Cartagena,3,1,Local,1
2024-2025,Segunda,2024-08-18,18:30,Elche,1uesca,0,1,Visitante,2
2024-2025,Segunda,2024-08-19,19:30,Eldense,Tenerife,2,1,Local,1
2024-2025,Segunda,2024-08-23,18:00,Santander,Eibar,2,2,Empate,X
2024-2025,Segunda,2024-08-23,20:30,1uesca,La Coruna,2,1,Local,1
2024-2025,Segunda,2024-08-24,16:00,Ferrol,Granada,0,1,Visitante,2
2024-2025,Segunda,2024-08-24,16:00,Sp Gijon,Eldense,0,0,Empate,X
2024-2025,Segunda,2024-08-24,18:00,Levante,Cadiz,1,1,Empate,X
2024-2025,Segunda,2024-08-24,20:30,Malaga,Mirandes,1,1,Empate,X
2024-2025,Segunda,2024-08-24,20:30,Tenerife,2lmeria,0,1,Visitante,2
2024-2025,Segunda,2024-08-25,18:00,2lbacete,Elche,1,0,Local,1
2024-2025,Segunda,2024-08-25,20:30,Castellon,Oviedo,0,0,Empate,X
2024-2025,Segunda,2024-08-26,18:00,Cartagena,Zaragoza,1,2,Visitante,2
2024-2025,Segunda,2024-08-26,20:30,Cordoba,Burgos,2,2,Empate,X
2024-2025,Segunda,2024-08-30,18:00,Granada,1uesca,1,3,Visitante,2
2024-2025,Segunda,2024-08-30,20:30,Oviedo,Santander,1,3,Visitante,2
2024-2025,Segunda,2024-08-31,18:00,Cadiz,Tenerife,2,2,Empate,X
2024-2025,Segunda,2024-08-31,20:30,2lmeria,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2024-08-31,20:30,Malaga,2lbacete,2,1,Local,1
2024-2025,Segunda,2024-09-01,16:00,Burgos,Castellon,0,2,Visitante,2
2024-2025,Segunda,2024-09-01,16:00,La Coruna,Ferrol,1,0,Local,1
2024-2025,Segunda,2024-09-01,18:00,Eldense,Cartagena,1,2,Visitante,2
2024-2025,Segunda,2024-09-01,18:00,Mirandes,Zaragoza,0,0,Empate,X
2024-2025,Segunda,2024-09-02,18:00,Eibar,Levante,2,2,Empate,X
2024-2025,Segunda,2024-09-02,20:30,Elche,Cordoba,3,1,Local,1
2024-2025,Segunda,2024-09-06,20:00,Tenerife,Santander,0,1,Visitante,2
2024-2025,Segunda,2024-09-07,15:15,Granada,La Coruna,1,1,Empate,X
2024-2025,Segunda,2024-09-07,17:30,1uesca,Burgos,0,1,Visitante,2
2024-2025,Segunda,2024-09-07,17:30,Sp Gijon,Oviedo,3,1,Local,1
2024-2025,Segunda,2024-09-07,20:00,Cordoba,Malaga,0,0,Empate,X
2024-2025,Segunda,2024-09-08,13:00,Ferrol,Mirandes,0,0,Empate,X
2024-2025,Segunda,2024-09-08,15:15,Cartagena,Levante,0,1,Visitante,2
2024-2025,Segunda,2024-09-08,17:30,Eldense,2lmeria,1,0,Local,1
2024-2025,Segunda,2024-09-08,17:30,Zaragoza,Elche,3,0,Local,1
2024-2025,Segunda,2024-09-09,20:00,2lbacete,Eibar,0,1,Visitante,2
2024-2025,Segunda,2024-09-09,20:00,Castellon,Cadiz,1,3,Visitante,2
2024-2025,Segunda,2024-09-13,19:30,Cordoba,La Coruna,2,0,Local,1
2024-2025,Segunda,2024-09-14,15:15,Eibar,Tenerife,1,0,Local,1
2024-2025,Segunda,2024-09-14,15:15,Levante,Eldense,3,1,Local,1
2024-2025,Segunda,2024-09-14,17:30,Malaga,1uesca,1,0,Local,1
2024-2025,Segunda,2024-09-14,17:30,Santander,Sp Gijon,1,0,Local,1
2024-2025,Segunda,2024-09-15,13:00,Mirandes,2lbacete,2,0,Local,1
2024-2025,Segunda,2024-09-15,15:15,Oviedo,Cartagena,1,0,Local,1
2024-2025,Segunda,2024-09-15,17:30,Burgos,Zaragoza,1,0,Local,1
2024-2025,Segunda,2024-09-15,17:30,Cadiz,Ferrol,0,0,Empate,X
2024-2025,Segunda,2024-09-15,20:00,Elche,Granada,2,2,Empate,X
2024-2025,Segunda,2024-09-16,19:30,2lmeria,Castellon,2,5,Visitante,2
2024-2025,Segunda,2024-09-20,19:30,Granada,Malaga,2,2,Empate,X
2024-2025,Segunda,2024-09-21,15:15,Ferrol,2lbacete,1,4,Visitante,2
2024-2025,Segunda,2024-09-21,17:30,Eldense,Oviedo,1,1,Empate,X
2024-2025,Segunda,2024-09-21,17:30,La Coruna,Burgos,0,2,Visitante,2
2024-2025,Segunda,2024-09-21,20:00,Zaragoza,Levante,2,1,Local,1
2024-2025,Segunda,2024-09-22,13:00,Tenerife,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2024-09-22,15:15,Cartagena,Cadiz,1,2,Visitante,2
2024-2025,Segunda,2024-09-22,15:15,Castellon,Santander,0,1,Visitante,2
2024-2025,Segunda,2024-09-22,17:30,Elche,Mirandes,1,0,Local,1
2024-2025,Segunda,2024-09-22,20:00,2lmeria,Eibar,2,2,Empate,X
2024-2025,Segunda,2024-09-23,19:30,1uesca,Cordoba,4,1,Local,1
2024-2025,Segunda,2024-09-27,19:30,2lbacete,La Coruna,2,5,Visitante,2
2024-2025,Segunda,2024-09-28,15:15,Cadiz,Eldense,1,2,Visitante,2
2024-2025,Segunda,2024-09-28,15:15,Mirandes,1uesca,1,0,Local,1
2024-2025,Segunda,2024-09-28,17:30,Sp Gijon,Zaragoza,1,0,Local,1
2024-2025,Segunda,2024-09-28,20:00,Malaga,Elche,0,3,Visitante,2
2024-2025,Segunda,2024-09-29,13:00,Levante,2lmeria,4,2,Local,1
2024-2025,Segunda,2024-09-29,15:15,Burgos,Granada,2,2,Empate,X
2024-2025,Segunda,2024-09-29,15:15,Castellon,Tenerife,2,1,Local,1
2024-2025,Segunda,2024-09-29,17:30,Cordoba,Ferrol,3,1,Local,1
2024-2025,Segunda,2024-09-29,17:30,Oviedo,Eibar,1,0,Local,1
2024-2025,Segunda,2024-09-30,19:30,Santander,Cartagena,1,2,Visitante,2
2024-2025,Segunda,2024-10-04,19:30,1uesca,Cadiz,3,1,Local,1
2024-2025,Segunda,2024-10-05,13:00,Ferrol,Elche,1,0,Local,1
2024-2025,Segunda,2024-10-05,15:15,Eibar,Sp Gijon,1,3,Visitante,2
2024-2025,Segunda,2024-10-05,15:15,Mirandes,Granada,0,1,Visitante,2
2024-2025,Segunda,2024-10-05,17:30,2lmeria,Burgos,2,0,Local,1
2024-2025,Segunda,2024-10-05,17:30,Zaragoza,Santander,2,3,Visitante,2
2024-2025,Segunda,2024-10-05,20:00,Tenerife,Cartagena,2,0,Local,1
2024-2025,Segunda,2024-10-06,13:00,La Coruna,Malaga,0,0,Empate,X
2024-2025,Segunda,2024-10-06,15:15,Eldense,Castellon,2,3,Visitante,2
2024-2025,Segunda,2024-10-06,17:30,Levante,Oviedo,0,0,Empate,X
2024-2025,Segunda,2024-10-06,20:00,2lbacete,Cordoba,1,1,Empate,X
2024-2025,Segunda,2024-10-11,19:30,Tenerife,Zaragoza,2,3,Visitante,2
2024-2025,Segunda,2024-10-12,15:15,Cartagena,Ferrol,0,1,Visitante,2
2024-2025,Segunda,2024-10-12,17:30,Cadiz,Malaga,2,2,Empate,X
2024-2025,Segunda,2024-10-12,17:30,Eibar,Eldense,1,0,Local,1
2024-2025,Segunda,2024-10-13,13:00,1uesca,2lbacete,2,2,Empate,X
2024-2025,Segunda,2024-10-13,15:15,Oviedo,2lmeria,3,2,Local,1
2024-2025,Segunda,2024-10-13,15:15,Santander,Levante,1,0,Local,1
2024-2025,Segunda,2024-10-13,17:30,Burgos,Mirandes,0,1,Visitante,2
2024-2025,Segunda,2024-10-13,17:30,Granada,Cordoba,1,0,Local,1
2024-2025,Segunda,2024-10-13,20:00,Elche,La Coruna,0,0,Empate,X
2024-2025,Segunda,2024-10-14,19:30,Sp Gijon,Castellon,2,1,Local,1
2024-2025,Segunda,2024-10-18,19:30,Cordoba,Cartagena,2,1,Local,1
2024-2025,Segunda,2024-10-19,15:15,La Coruna,Eldense,1,1,Empate,X
2024-2025,Segunda,2024-10-19,15:15,Malaga,Oviedo,0,0,Empate,X
2024-2025,Segunda,2024-10-19,17:30,Castellon,Levante,2,0,Local,1
2024-2025,Segunda,2024-10-19,17:30,Granada,Tenerife,4,0,Local,1
2024-2025,Segunda,2024-10-19,20:00,Mirandes,Eibar,1,0,Local,1
2024-2025,Segunda,2024-10-20,13:00,Cadiz,Santander,0,1,Visitante,2
2024-2025,Segunda,2024-10-20,15:15,Ferrol,1uesca,0,0,Empate,X
2024-2025,Segunda,2024-10-20,17:30,Elche,Sp Gijon,2,1,Local,1
2024-2025,Segunda,2024-10-20,17:30,Zaragoza,2lmeria,1,2,Visitante,2
2024-2025,Segunda,2024-10-21,19:30,2lbacete,Burgos,2,0,Local,1
2024-2025,Segunda,2024-10-22,18:00,Oviedo,Mirandes,4,1,Local,1
2024-2025,Segunda,2024-10-22,20:00,Castellon,Granada,2,3,Visitante,2
2024-2025,Segunda,2024-10-23,18:00,Eibar,Cadiz,1,0,Local,1
2024-2025,Segunda,2024-10-23,18:00,Eldense,Zaragoza,2,3,Visitante,2
2024-2025,Segunda,2024-10-23,20:00,Cartagena,Elche,0,0,Empate,X
2024-2025,Segunda,2024-10-23,20:00,Santander,Cordoba,2,0,Local,1
2024-2025,Segunda,2024-10-24,18:00,2lmeria,2lbacete,3,1,Local,1
2024-2025,Segunda,2024-10-24,18:00,Levante,La Coruna,2,1,Local,1
2024-2025,Segunda,2024-10-24,20:00,Burgos,Ferrol,1,1,Empate,X
2024-2025,Segunda,2024-10-24,20:00,Sp Gijon,1uesca,2,1,Local,1
2024-2025,Segunda,2024-10-24,20:00,Tenerife,Malaga,0,0,Empate,X
2024-2025,Segunda,2024-10-26,15:15,Cadiz,Oviedo,2,0,Local,1
2024-2025,Segunda,2024-10-26,15:15,Mirandes,Cartagena,3,1,Local,1
2024-2025,Segunda,2024-10-26,17:30,Cordoba,Eldense,2,0,Local,1
2024-2025,Segunda,2024-10-26,17:30,Zaragoza,Castellon,1,2,Visitante,2
2024-2025,Segunda,2024-10-27,13:00,Malaga,Eibar,1,0,Local,1
2024-2025,Segunda,2024-10-27,15:15,Elche,Burgos,1,0,Local,1
2024-2025,Segunda,2024-10-27,15:15,La Coruna,Santander,1,2,Visitante,2
2024-2025,Segunda,2024-10-27,17:30,2lbacete,Sp Gijon,3,3,Empate,X
2024-2025,Segunda,2024-10-27,17:30,1uesca,2lmeria,2,2,Empate,X
2024-2025,Segunda,2024-10-27,20:00,Granada,Levante,1,2,Visitante,2
2024-2025,Segunda,2024-10-28,19:30,Ferrol,Tenerife,1,1,Empate,X
2024-2025,Segunda,2024-11-02,13:00,Eibar,Elche,0,2,Visitante,2
2024-2025,Segunda,2024-11-02,15:15,Cartagena,La Coruna,1,5,Visitante,2
2024-2025,Segunda,2024-11-02,15:15,Sp Gijon,Cadiz,2,0,Local,1
2024-2025,Segunda,2024-11-02,17:30,Santander,2lbacete,1,1,Empate,X
2024-2025,Segunda,2024-11-02,17:30,Zaragoza,Granada,2,1,Local,1
2024-2025,Segunda,2024-11-03,13:00,Oviedo,Burgos,3,1,Local,1
2024-2025,Segunda,2024-11-03,17:30,Tenerife,Mirandes,1,0,Local,1
2024-2025,Segunda,2024-11-08,19:30,Elche,2lmeria,1,2,Visitante,2
2024-2025,Segunda,2024-11-09,15:15,Mirandes,Cadiz,2,2,Empate,X
2024-2025,Segunda,2024-11-09,17:30,Granada,Eldense,3,2,Local,1
2024-2025,Segunda,2024-11-09,17:30,1uesca,Zaragoza,1,1,Empate,X
2024-2025,Segunda,2024-11-09,20:00,Malaga,Cartagena,1,0,Local,1
2024-2025,Segunda,2024-11-10,13:00,Cordoba,Castellon,2,2,Empate,X
2024-2025,Segunda,2024-11-10,15:15,Burgos,Sp Gijon,0,2,Visitante,2
2024-2025,Segunda,2024-11-10,15:15,Ferrol,Santander,1,2,Visitante,2
2024-2025,Segunda,2024-11-10,17:30,2lbacete,Oviedo,2,2,Empate,X
2024-2025,Segunda,2024-11-11,19:30,La Coruna,Eibar,1,0,Local,1
2024-2025,Segunda,2024-11-16,13:00,Eibar,Ferrol,2,0,Local,1
2024-2025,Segunda,2024-11-16,15:15,Castellon,Mirandes,1,3,Visitante,2
2024-2025,Segunda,2024-11-16,15:15,Eldense,2lbacete,2,0,Local,1
2024-2025,Segunda,2024-11-16,17:30,Levante,Elche,1,1,Empate,X
2024-2025,Segunda,2024-11-16,17:30,Santander,Burgos,2,0,Local,1
2024-2025,Segunda,2024-11-16,20:00,Sp Gijon,Granada,1,2,Visitante,2
2024-2025,Segunda,2024-11-17,15:15,Cadiz,Cordoba,2,0,Local,1
2024-2025,Segunda,2024-11-17,15:15,Oviedo,Tenerife,3,1,Local,1
2024-2025,Segunda,2024-11-17,17:30,2lmeria,La Coruna,2,1,Local,1
2024-2025,Segunda,2024-11-17,17:30,Cartagena,1uesca,1,0,Local,1
2024-2025,Segunda,2024-11-17,20:00,Zaragoza,Malaga,0,0,Empate,X
2024-2025,Segunda,2024-11-20,19:00,Eldense,1uesca,2,1,Local,1
2024-2025,Segunda,2024-11-22,19:30,Ferrol,Levante,0,0,Empate,X
2024-2025,Segunda,2024-11-23,13:00,Cartagena,2lmeria,1,2,Visitante,2
2024-2025,Segunda,2024-11-23,15:15,Granada,Cadiz,0,0,Empate,X
2024-2025,Segunda,2024-11-23,17:30,Burgos,Eibar,1,0,Local,1
2024-2025,Segunda,2024-11-23,17:30,Cordoba,Zaragoza,2,2,Empate,X
2024-2025,Segunda,2024-11-23,20:00,Malaga,Santander,0,0,Empate,X
2024-2025,Segunda,2024-11-24,13:00,2lbacete,Tenerife,2,1,Local,1
2024-2025,Segunda,2024-11-24,15:15,La Coruna,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2024-11-24,15:15,Mirandes,Eldense,1,0,Local,1
2024-2025,Segunda,2024-11-24,17:30,1uesca,Castellon,1,1,Empate,X
2024-2025,Segunda,2024-11-24,20:00,Elche,Oviedo,4,0,Local,1
2024-2025,Segunda,2024-11-26,19:30,2lmeria,Cordoba,4,0,Local,1
2024-2025,Segunda,2024-11-27,18:00,Castellon,Ferrol,0,0,Empate,X
2024-2025,Segunda,2024-11-27,18:00,Levante,Malaga,4,2,Local,1
2024-2025,Segunda,2024-11-29,19:30,Oviedo,1uesca,0,3,Visitante,2
2024-2025,Segunda,2024-11-30,15:15,2lmeria,Granada,2,1,Local,1
2024-2025,Segunda,2024-11-30,15:15,Zaragoza,2lbacete,0,1,Visitante,2
2024-2025,Segunda,2024-11-30,17:30,Cadiz,La Coruna,2,4,Visitante,2
2024-2025,Segunda,2024-11-30,17:30,Santander,Mirandes,0,1,Visitante,2
2024-2025,Segunda,2024-11-30,20:00,Tenerife,Elche,1,1,Empate,X
2024-2025,Segunda,2024-12-01,13:00,Castellon,Malaga,2,0,Local,1
2024-2025,Segunda,2024-12-01,17:30,Eldense,Ferrol,0,0,Empate,X
2024-2025,Segunda,2024-12-01,17:30,Levante,Burgos,3,1,Local,1
2024-2025,Segunda,2024-12-01,20:00,Sp Gijon,Cordoba,2,0,Local,1
2024-2025,Segunda,2024-12-02,19:30,Eibar,Cartagena,1,0,Local,1
2024-2025,Segunda,2024-12-06,19:30,Mirandes,Levante,2,1,Local,1
2024-2025,Segunda,2024-12-07,13:00,Elche,Cadiz,2,1,Local,1
2024-2025,Segunda,2024-12-07,15:15,Granada,Santander,3,0,Local,1
2024-2025,Segunda,2024-12-07,17:30,La Coruna,Zaragoza,1,1,Empate,X
2024-2025,Segunda,2024-12-07,20:00,1uesca,Eibar,2,1,Local,1
2024-2025,Segunda,2024-12-08,13:00,Ferrol,Oviedo,1,5,Visitante,2
2024-2025,Segunda,2024-12-08,15:15,Malaga,2lmeria,1,1,Empate,X
2024-2025,Segunda,2024-12-08,17:30,2lbacete,Castellon,0,0,Empate,X
2024-2025,Segunda,2024-12-08,17:30,Burgos,Eldense,1,0,Local,1
2024-2025,Segunda,2024-12-08,20:00,Cordoba,Tenerife,3,0,Local,1
2024-2025,Segunda,2024-12-09,19:30,Cartagena,Sp Gijon,1,0,Local,1
2024-2025,Segunda,2024-12-13,19:30,2lmeria,Mirandes,1,0,Local,1
2024-2025,Segunda,2024-12-14,13:00,Levante,Cordoba,2,2,Empate,X
2024-2025,Segunda,2024-12-14,15:15,Cadiz,2lbacete,1,0,Local,1
2024-2025,Segunda,2024-12-14,15:15,Castellon,Cartagena,4,1,Local,1
2024-2025,Segunda,2024-12-14,17:30,Eibar,Zaragoza,2,1,Local,1
2024-2025,Segunda,2024-12-14,17:30,Eldense,Elche,0,0,Empate,X
2024-2025,Segunda,2024-12-14,20:00,Oviedo,Granada,2,0,Local,1
2024-2025,Segunda,2024-12-15,13:00,Sp Gijon,Ferrol,1,3,Visitante,2
2024-2025,Segunda,2024-12-15,15:15,Burgos,Malaga,0,0,Empate,X
2024-2025,Segunda,2024-12-15,17:30,Santander,1uesca,0,1,Visitante,2
2024-2025,Segunda,2024-12-17,18:00,2lbacete,Levante,0,0,Empate,X
2024-2025,Segunda,2024-12-17,18:00,Granada,Cartagena,4,1,Local,1
2024-2025,Segunda,2024-12-17,20:15,Cordoba,Eibar,2,1,Local,1
2024-2025,Segunda,2024-12-17,20:15,Zaragoza,Oviedo,2,3,Visitante,2
2024-2025,Segunda,2024-12-18,18:00,Ferrol,2lmeria,1,4,Visitante,2
2024-2025,Segunda,2024-12-18,20:15,Malaga,Eldense,3,0,Local,1
2024-2025,Segunda,2024-12-18,20:15,Mirandes,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2024-12-19,18:00,Cadiz,Burgos,1,1,Empate,X
2024-2025,Segunda,2024-12-19,18:00,Elche,Santander,3,0,Local,1
2024-2025,Segunda,2024-12-19,20:15,1uesca,Tenerife,1,0,Local,1
2024-2025,Segunda,2024-12-19,20:15,La Coruna,Castellon,5,1,Local,1
2024-2025,Segunda,2024-12-20,19:30,Cartagena,2lbacete,0,0,Empate,X
2024-2025,Segunda,2024-12-21,13:00,Eibar,Granada,1,1,Empate,X
2024-2025,Segunda,2024-12-21,15:15,Oviedo,Cordoba,2,3,Visitante,2
2024-2025,Segunda,2024-12-21,17:30,Sp Gijon,Malaga,1,3,Visitante,2
2024-2025,Segunda,2024-12-21,17:30,Zaragoza,Ferrol,1,0,Local,1
2024-2025,Segunda,2024-12-22,13:00,Burgos,Tenerife,1,0,Local,1
2024-2025,Segunda,2024-12-22,15:15,Castellon,Elche,0,2,Visitante,2
2024-2025,Segunda,2024-12-22,17:30,2lmeria,Cadiz,1,1,Empate,X
2024-2025,Segunda,2024-12-22,17:30,Santander,Eldense,2,2,Empate,X
2024-2025,Segunda,2024-12-22,20:00,La Coruna,Mirandes,0,4,Visitante,2
2024-2025,Segunda,2024-12-22,20:00,Levante,1uesca,1,1,Empate,X
2024-2025,Segunda,2025-01-07,20:30,Tenerife,Levante,0,3,Visitante,2
2024-2025,Segunda,2025-01-10,19:30,Granada,Burgos,0,0,Empate,X
2024-2025,Segunda,2025-01-11,13:00,Ferrol,Cartagena,0,0,Empate,X
2024-2025,Segunda,2025-01-11,15:15,2lbacete,Santander,2,2,Empate,X
2024-2025,Segunda,2025-01-11,15:15,1uesca,Mirandes,1,0,Local,1
2024-2025,Segunda,2025-01-11,17:30,Malaga,La Coruna,1,1,Empate,X
2024-2025,Segunda,2025-01-11,17:30,Tenerife,Castellon,2,0,Local,1
2024-2025,Segunda,2025-01-11,20:00,Oviedo,Sp Gijon,1,1,Empate,X
2024-2025,Segunda,2025-01-12,13:00,Cordoba,2lmeria,0,3,Visitante,2
2024-2025,Segunda,2025-01-12,15:15,Cadiz,Levante,0,0,Empate,X
2024-2025,Segunda,2025-01-12,15:15,Elche,Zaragoza,1,0,Local,1
2024-2025,Segunda,2025-01-13,19:30,Eldense,Eibar,1,3,Visitante,2
2024-2025,Segunda,2025-01-17,19:30,Cartagena,Oviedo,0,1,Visitante,2
2024-2025,Segunda,2025-01-18,15:15,Eldense,Cadiz,1,4,Visitante,2
2024-2025,Segunda,2025-01-18,17:30,Eibar,2lbacete,1,1,Empate,X
2024-2025,Segunda,2025-01-18,17:30,Sp Gijon,Elche,1,1,Empate,X
2024-2025,Segunda,2025-01-18,20:00,Levante,Granada,3,1,Local,1
2024-2025,Segunda,2025-01-19,13:00,Burgos,La Coruna,0,1,Visitante,2
2024-2025,Segunda,2025-01-19,15:15,Santander,Ferrol,6,0,Local,1
2024-2025,Segunda,2025-01-19,17:30,Castellon,Cordoba,1,2,Visitante,2
2024-2025,Segunda,2025-01-19,17:30,Zaragoza,Tenerife,2,2,Empate,X
2024-2025,Segunda,2025-01-19,20:00,2lmeria,1uesca,0,0,Empate,X
2024-2025,Segunda,2025-01-20,19:30,Mirandes,Malaga,3,2,Local,1
2024-2025,Segunda,2025-01-24,19:30,Elche,Eibar,2,0,Local,1
2024-2025,Segunda,2025-01-25,15:15,Cordoba,Santander,1,2,Visitante,2
2024-2025,Segunda,2025-01-25,17:30,1uesca,Cartagena,4,0,Local,1
2024-2025,Segunda,2025-01-25,17:30,La Coruna,Levante,1,2,Visitante,2
2024-2025,Segunda,2025-01-25,20:00,Tenerife,Eldense,0,1,Visitante,2
2024-2025,Segunda,2025-01-26,13:00,Granada,Sp Gijon,3,1,Local,1
2024-2025,Segunda,2025-01-26,15:15,2lbacete,2lmeria,2,1,Local,1
2024-2025,Segunda,2025-01-26,15:15,Oviedo,Castellon,1,0,Local,1
2024-2025,Segunda,2025-01-26,17:30,Malaga,Zaragoza,1,2,Visitante,2
2024-2025,Segunda,2025-01-27,19:30,Cadiz,Mirandes,3,1,Local,1
2024-2025,Segunda,2025-01-29,20:00,Tenerife,La Coruna,0,0,Empate,X
2024-2025,Segunda,2025-01-31,19:30,Eldense,Granada,0,3,Visitante,2
2024-2025,Segunda,2025-02-01,13:00,Mirandes,Elche,3,0,Local,1
2024-2025,Segunda,2025-02-01,15:15,Sp Gijon,Burgos,2,0,Local,1
2024-2025,Segunda,2025-02-01,17:30,2lmeria,Oviedo,1,1,Empate,X
2024-2025,Segunda,2025-02-01,20:00,Santander,Malaga,2,1,Local,1
2024-2025,Segunda,2025-02-02,13:00,Castellon,1uesca,0,1,Visitante,2
2024-2025,Segunda,2025-02-02,15:15,Eibar,La Coruna,0,1,Visitante,2
2024-2025,Segunda,2025-02-02,17:30,Cartagena,Cordoba,0,1,Visitante,2
2024-2025,Segunda,2025-02-02,17:30,Zaragoza,Cadiz,0,0,Empate,X
2024-2025,Segunda,2025-02-02,20:00,Tenerife,2lbacete,3,1,Local,1
